SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
134561,1,Cash loans,F,N,N,4,67500,331920,17077.5,225000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.006305,-13280,-280,-3471,-4880,,1,1,1,1,0,0,Sales staff,6,3,3,TUESDAY,9,0,0,0,0,0,0,Self-employed,0.345717195,0.412734416,0.639707568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,-956,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
120952,1,Cash loans,M,Y,Y,0,135000,225000,11074.5,225000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,0.0228,-8438,-809,-3232,-838,2,1,1,0,1,0,0,Laborers,2,2,2,SUNDAY,15,0,0,0,0,0,0,Business Entity Type 3,,0.453070455,0.24318648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,-555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
188909,0,Cash loans,F,N,N,0,270000,593010,17122.5,495000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.005144,-22532,365243,-10231,-4226,,1,0,0,1,0,0,,1,2,2,SUNDAY,11,0,0,0,0,0,0,XNA,,0.574663851,0.180887978,0.0155,0.0193,0.9861,0.8096,0.0022,0,0.0345,0.1667,,0.0054,0.0126,0.0151,0,0,0.0158,0.02,0.9861,0.8171,0.0022,0,0.0345,0.1667,,0.0055,0.0138,0.0158,0,0,0.0156,0.0193,0.9861,0.8121,0.0022,0,0.0345,0.1667,,0.0055,0.0128,0.0154,0,0,org spec account,block of flats,0.0119,Panel,No,0,0,0,0,-1102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
347275,0,Cash loans,M,Y,Y,2,630000,1125000,36292.5,1125000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.01452,-16758,-1093,-80,-290,3,1,1,0,1,0,0,Core staff,4,2,2,FRIDAY,15,0,0,0,0,0,0,Restaurant,,0.622995937,0.332850564,0.0546,0.0976,0.9891,0.8504,0.0364,0,0.1034,0.1667,0.0417,0.0856,0.0429,0.0599,0.0077,0.0094,0.0557,0.1013,0.9891,0.8563,0.0367,0,0.1034,0.1667,0.0417,0.0876,0.0468,0.0625,0.0078,0.0099,0.0552,0.0976,0.9891,0.8524,0.0366,0,0.1034,0.1667,0.0417,0.0871,0.0436,0.061,0.0078,0.0096,reg oper account,block of flats,0.0757,"Stone, brick",No,1,0,1,0,-720,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
250804,0,Cash loans,M,Y,N,0,180000,774000,28813.5,774000,Unaccompanied,Commercial associate,Higher education,Single / not married,Municipal apartment,0.018029,-11214,-831,-615,-626,15,1,1,0,1,0,0,High skill tech staff,1,3,3,SATURDAY,5,0,0,0,0,1,1,Business Entity Type 3,0.369833372,0.512840797,0.221335206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,-67,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
348749,0,Cash loans,F,N,Y,1,112500,142200,9387,112500,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.022625,-10213,-2189,-4426,-2097,,1,1,0,1,0,0,Laborers,3,2,2,SATURDAY,11,0,0,0,1,1,1,Transport: type 4,,0.244007821,0.272133684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
231383,0,Revolving loans,F,Y,Y,0,256500,765000,38250,765000,Unaccompanied,Commercial associate,Lower secondary,Married,Rented apartment,0.032561,-22488,-6928,-12499,-4074,30,1,1,0,1,1,0,Accountants,2,1,1,MONDAY,17,0,0,0,0,0,0,Business Entity Type 3,,0.783828382,0.678567689,0.332,0.2167,0.9781,0.7008,0.0616,0.36,0.3103,0.3333,0.375,0.1463,0.2707,0.3231,0,0,0.3382,0.2249,0.9782,0.7125,0.0622,0.3625,0.3103,0.3333,0.375,0.1496,0.2957,0.3366,0,0,0.3352,0.2167,0.9781,0.7048,0.062,0.36,0.3103,0.3333,0.375,0.1488,0.2753,0.3289,0,0,reg oper account,block of flats,0.2878,Panel,No,0,0,0,0,-1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
119647,0,Cash loans,F,N,Y,0,45000,454500,17739,454500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-12178,-931,-2948,-4449,,1,1,0,1,0,0,Sales staff,2,2,2,TUESDAY,9,0,0,0,0,1,1,Self-employed,,0.142870888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
257374,0,Cash loans,F,N,Y,0,292500,781920,33259.5,675000,Unaccompanied,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.020246,-22634,365243,-9895,-4192,,1,0,0,1,1,0,,2,3,3,TUESDAY,11,0,0,0,0,0,0,XNA,0.352552597,0.540488336,,0.101,0.0958,0.9722,0.6192,0.0249,0,0.069,0.125,0.1667,0.073,0.0815,0.0336,0.0039,0.1121,0.1029,0.0994,0.9722,0.6341,0.0251,0,0.069,0.125,0.1667,0.0747,0.0891,0.035,0.0039,0.1187,0.102,0.0958,0.9722,0.6243,0.0251,0,0.069,0.125,0.1667,0.0743,0.0829,0.0342,0.0039,0.1145,reg oper account,block of flats,0.0508,"Stone, brick",No,0,0,0,0,-1191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
305211,0,Cash loans,F,N,Y,0,157500,824823,24246,688500,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.016612,-23476,365243,-3955,-4466,,1,0,0,1,0,0,,2,2,2,MONDAY,13,0,0,0,0,0,0,XNA,0.873911703,0.657271488,0.403141677,0.0247,0.0556,0.9757,0.6668,0.001,0,0.069,0.0833,0.0417,0.0275,0.0202,0.0187,0,0,0.0252,0.0577,0.9757,0.6798,0.001,0,0.069,0.0833,0.0417,0.0281,0.022,0.0195,0,0,0.025,0.0556,0.9757,0.6713,0.001,0,0.069,0.0833,0.0417,0.0279,0.0205,0.0191,0,0,reg oper account,block of flats,0.0153,"Stone, brick",No,1,0,1,0,-618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
153812,0,Cash loans,F,N,Y,0,85500,225000,15790.5,225000,Unaccompanied,Pensioner,Lower secondary,Civil marriage,House / apartment,0.01452,-24101,365243,-14240,-4264,,1,0,0,1,1,0,,2,2,2,THURSDAY,6,0,0,0,0,0,0,XNA,,0.342027829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-867,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
149325,0,Cash loans,M,Y,N,0,270000,755190,38610,675000,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.008068,-9664,-817,-4442,-2332,9,1,1,1,1,0,0,High skill tech staff,2,3,3,SUNDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.306497032,0.708189438,0.374020803,0.0505,0.0083,0.9632,0.4968,0.01,0,0.2069,0.125,0,0.0148,0.0336,0.0609,0.0347,0.0427,0.0515,0.0086,0.9633,0.5165,0.0101,0,0.2069,0.125,0,0.0151,0.0367,0.0635,0.035,0.0452,0.051,0.0083,0.9632,0.5035,0.0101,0,0.2069,0.125,0,0.015,0.0342,0.062,0.0349,0.0436,reg oper account,block of flats,0.0627,"Stone, brick",No,0,0,0,0,-1118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
404667,0,Cash loans,F,N,N,1,112500,503676,34200,382500,Unaccompanied,Working,Higher education,Married,With parents,0.007305,-10366,-321,-610,-2325,,1,1,0,1,0,0,Sales staff,3,3,3,FRIDAY,10,0,0,0,0,0,0,Self-employed,0.423637157,0.344477841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114238,0,Cash loans,F,Y,Y,1,247500,270045,30595.5,256500,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.016612,-8544,365243,-8507,-1223,2,1,0,0,1,0,0,,3,2,2,SATURDAY,14,0,0,0,0,0,0,XNA,0.503867819,0.117301193,0.190705948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
373414,1,Cash loans,F,N,Y,0,112500,339241.5,16627.5,238500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-13987,-778,-203,-3510,,1,1,0,1,0,0,Sales staff,2,3,2,TUESDAY,6,0,0,0,0,0,0,Business Entity Type 3,0.32105747,0.4093358,0.358951229,0.0619,0.05,0.9742,0.6464,0.0052,0,0.1034,0.1667,0.2083,0.0572,0.0504,0.0499,0,0,0.063,0.0519,0.9742,0.6602,0.0053,0,0.1034,0.1667,0.2083,0.0585,0.0551,0.052,0,0,0.0625,0.05,0.9742,0.6511,0.0053,0,0.1034,0.1667,0.2083,0.0582,0.0513,0.0508,0,0,reg oper account,block of flats,0.0392,"Stone, brick",No,3,0,3,0,-635,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
188388,0,Cash loans,F,Y,N,0,202500,500490,48888,450000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.035792,-22783,-1329,-1071,-4319,16,1,1,0,1,0,0,Accountants,2,2,2,WEDNESDAY,12,0,0,0,0,1,1,Transport: type 4,,0.554907729,0.19977057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-2049,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
231929,1,Cash loans,F,Y,Y,1,67500,1024740,52452,900000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.011657,-10836,-830,-6092,-380,2,1,1,0,1,0,0,Laborers,3,1,1,SATURDAY,15,0,0,0,0,1,1,Industry: type 11,0.323366309,0.360396243,,0.0928,0.1015,0.9831,,,0,0.2069,0.1667,,0,,0.0876,,0,0.0945,0.1054,0.9831,,,0,0.2069,0.1667,,0,,0.0913,,0,0.0937,0.1015,0.9831,,,0,0.2069,0.1667,,0,,0.0892,,0,,block of flats,0.0699,Panel,No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
288831,0,Cash loans,F,N,Y,2,171000,375322.5,20488.5,324000,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,0.008575,-10801,-1511,-1821,-3078,,1,1,0,1,0,0,Sales staff,4,2,2,TUESDAY,10,0,0,0,0,0,0,Trade: type 7,0.346733628,0.643574682,0.508286991,0.0557,0.0435,0.9866,,,0.08,0.0517,0.3542,,0.038,,0.0848,,0.1359,0.02,0.0319,0.9836,,,0.0806,0.0345,0.3333,,0.0238,,0.0674,,0.1307,0.0562,0.0435,0.9866,,,0.08,0.0517,0.3542,,0.0387,,0.0863,,0.1387,,block of flats,0.0823,Block,No,0,0,0,0,-1210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111556,0,Cash loans,M,Y,Y,2,315000,927000,30766.5,927000,Other_B,Working,Secondary / secondary special,Separated,House / apartment,0.028663,-17096,-1359,-3388,-624,23,1,1,0,1,0,0,Laborers,3,2,2,WEDNESDAY,8,0,1,1,0,1,1,Business Entity Type 3,,0.226506873,0.554946769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
199643,0,Cash loans,F,N,N,2,135000,675000,34465.5,675000,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.015221,-13634,-6344,-6664,-4627,,1,1,1,1,0,0,Accountants,4,2,2,TUESDAY,12,0,0,0,0,0,0,Industry: type 9,0.498126642,0.618083688,0.798137231,0.0928,0.0992,0.9801,0.728,0.0432,0,0.2069,0.1667,0.2083,0.0513,0.0756,0.0571,0,0,0.0945,0.103,0.9801,0.7387,0.0436,0,0.2069,0.1667,0.2083,0.0525,0.0826,0.0595,0,0,0.0937,0.0992,0.9801,0.7316,0.0435,0,0.2069,0.1667,0.2083,0.0522,0.077,0.0581,0,0,reg oper account,block of flats,0.0686,Panel,No,1,0,1,0,-915,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120657,0,Cash loans,F,N,Y,2,202500,713889,56533.5,661500,Unaccompanied,Working,Higher education,Married,House / apartment,0.022625,-13099,-848,-1374,-5379,,1,1,0,1,0,0,,4,2,2,FRIDAY,16,0,0,0,0,0,0,Construction,0.593790967,0.291818195,0.342528872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
